=== Predictions on user test set ===

    inst#     actual  predicted error prediction
        1       1:No       1:No       0.98 
        2       1:No       1:No       0.83 
        3      2:Yes      2:Yes       0.98 
        4      2:Yes      2:Yes       0.99 
        5        1:?       1:No       0.96 
        6        1:?      2:Yes       0.94 
        7        1:?      2:Yes       0.99 
        8        1:?      2:Yes       0.9 
        9        1:?      2:Yes       1 
       10        1:?      2:Yes       1 
       11        1:?      2:Yes       0.94 
       12        1:?      2:Yes       0.66 
       13        1:?      2:Yes       0.85 
       14        1:?      2:Yes       1 
       15        1:?      2:Yes       1 
       16        1:?      2:Yes       0.78 
       17        1:?      2:Yes       0.88 
       18        1:?       1:No       0.55 
       19        1:?      2:Yes       0.9 
       20        1:?      2:Yes       0.99 
       21        1:?      2:Yes       0.93 
       22        1:?      2:Yes       0.99 
       23        1:?      2:Yes       0.89 
       24        1:?      2:Yes       0.92 
       25        1:?      2:Yes       0.94 
       26        1:?      2:Yes       1 
       27        1:?      2:Yes       0.89 
       28        1:?      2:Yes       0.84 
       29        1:?      2:Yes       1 
       30        1:?      2:Yes       0.78 
       31        1:?      2:Yes       0.89 
       32        1:?      2:Yes       0.84 
       33        1:?      2:Yes       0.94 
       34        1:?      2:Yes       0.99 
       35        1:?      2:Yes       0.99 
       36        1:?      2:Yes       0.99 
       37        1:?      2:Yes       0.98 
       38        1:?       1:No       0.99 
       39        1:?      2:Yes       0.96 
       40        1:?      2:Yes       0.85 
       41        1:?      2:Yes       0.88 
       42        1:?      2:Yes       0.96 
       43        1:?      2:Yes       0.95 
       44        1:?      2:Yes       0.98 
       45        1:?      2:Yes       0.96 
       46        1:?      2:Yes       0.93 
       47        1:?      2:Yes       0.97 
       48        1:?      2:Yes       0.78 
       49        1:?      2:Yes       0.65 
       50        1:?      2:Yes       0.78 
       51        1:?      2:Yes       0.55 
       52        1:?      2:Yes       0.98 
       53        1:?      2:Yes       0.89 
       54        1:?      2:Yes       1 
       55        1:?      2:Yes       0.99 
       56        1:?      2:Yes       0.92 
       57        1:?      2:Yes       0.88 
       58        1:?      2:Yes       0.96 
       59        1:?      2:Yes       0.96 
       60        1:?      2:Yes       0.95 
       61        1:?       1:No       0.72 
       62        1:?      2:Yes       0.92 
       63        1:?      2:Yes       0.85 
       64        1:?      2:Yes       0.87 
       65        1:?      2:Yes       0.99 
       66        1:?      2:Yes       0.98 
       67        1:?      2:Yes       0.99 
       68        1:?      2:Yes       0.86 
       69        1:?      2:Yes       0.85 
       70        1:?      2:Yes       0.99 
       71        1:?      2:Yes       0.92 
       72        1:?      2:Yes       0.8 
       73        1:?      2:Yes       0.97 
       74        1:?      2:Yes       0.96 
       75        1:?      2:Yes       0.98 
       76        1:?      2:Yes       0.9 
       77        1:?      2:Yes       0.92 
