Shutting down thread pool...
Starting thread pool with 1 slots...

weka.classifiers.meta.MultiSearch
=================================
Options: -E ACC -search "weka.core.setupgenerator.MathParameter -property classifier.ridge -min -12.0 -max -2.0 -step 1.0 -base 10.0 -expression pow(BASE,I)" -search "weka.core.setupgenerator.MathParameter -property classifier.maxIts -min 1.0 -max 15.0 -step 1.0 -base 10.0 -expression I" -sample-size 100.0 -log-file C:\Users\Su\Desktop\log.txt -initial-folds 10 -subsequent-folds 10 -num-slots 1 -S 1 -W weka.classifiers.functions.Logistic -- -R 1.0E-8 -M -1

Step 1:


=== Initial space - Start ===
Determining best values with 10-fold CV in space:
2-dimensional space:
 - 1. dimension: classifier.ridge, min: -12.0, max: -2.0, step: 1.0
 - 2. dimension: classifier.maxIts, min: 1.0, max: 15.0, step: 1.0

Performance (-12, 1): 83.98501230539502 (ACC): cached=false
Performance (-11, 1): 83.98501230539502 (ACC): cached=false
Performance (-10, 1): 83.98501230539502 (ACC): cached=false
Performance (-9, 1): 83.98501230539502 (ACC): cached=false
Performance (-8, 1): 83.98501230539502 (ACC): cached=false
Performance (-7, 1): 83.98501230539502 (ACC): cached=false
Performance (-6, 1): 83.98501230539502 (ACC): cached=false
Performance (-5, 1): 83.98501230539502 (ACC): cached=false
Performance (-4, 1): 83.98501230539502 (ACC): cached=false
Performance (-3, 1): 83.98501230539502 (ACC): cached=false
Performance (-2, 1): 83.98501230539502 (ACC): cached=false
Performance (-12, 2): 86.93830710947654 (ACC): cached=false
Performance (-11, 2): 86.93830710947654 (ACC): cached=false
Performance (-10, 2): 86.93830710947654 (ACC): cached=false
Performance (-9, 2): 86.93830710947654 (ACC): cached=false
Performance (-8, 2): 86.93830710947654 (ACC): cached=false
Performance (-7, 2): 86.93830710947654 (ACC): cached=false
Performance (-6, 2): 86.93830710947654 (ACC): cached=false
Performance (-5, 2): 86.93830710947654 (ACC): cached=false
Performance (-4, 2): 86.93830710947654 (ACC): cached=false
Performance (-3, 2): 86.93830710947654 (ACC): cached=false
Performance (-2, 2): 86.93830710947654 (ACC): cached=false
Performance (-12, 3): 87.3876614218953 (ACC): cached=false
